RT,Compound,Category,BL3_5,BL3_8,BL3_11,BL3_14,BL3_17,BL3_20,BL3_23,BL3_26,BL3_29,BL3_32,BL3_35,BL3_38,BL3_41,BL3_44,BL3_47,BL3_50
14.93,Unknown,Unknown,0,0,1.143118084,2.282341841,0,0.668844686,0,0,0,0,0,0,0,0,0,0
15.02,C16 Dimethyl Ester ,Dimethyl Ester ,1.035997522,0.444437783,0,0,2.278779107,0,0,0,0,0,0,0,0,0,0,0
15.36,C20:1 FAME,MUFA,2.204549642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.44,n-C20 FAME ,Short_Saturated ,0,2.486945791,4.758449112,5.305460622,8.600936246,4.60784987,3.542949278,3.082050043,1.797180834,1.4633888,5.352581254,4.278058691,2.767388732,4.16161057,4.166846932,2.679412173
15.98,C19:1 FAME,MUFA,0.723537745,0,0,0,0.588263684,0.422687604,0,0,0,0,0,0,0.335170727,0.442872337,0,0
16.15,n-C21 FAME ,Saturated ,0,0.755896124,1.457585822,1.419367703,1.712906837,1.286766398,1.085751776,1.104916206,0.43498841,0,0.983376613,0.81315691,0.641971427,0.823397523,1.068718983,0.909358448
16.33,C18 Dimethyl Ester ,Diacid ,0,0,0,1.214590431,0.895345111,0,0,0,0,0,0,0,0,0,0,0
16.4,"Phenol, 2,4-bis(1-phenylethyl)-",PAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.849000453
16.49,"Phenol, 2,4-bis(1-phenylethyl)-",PAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.765940928
16.66,C22:1 FAME,MUFA,6.89279653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16.78,n-C22 FAME,Short_Saturated ,0,7.329724596,12.50070212,13.90204357,19.41714085,11.34501354,9.254267163,8.010207526,4.675243712,2.92720663,10.35532481,7.621811701,5.505488474,8.431289182,8.235958497,5.643746507
17.44,n-C23 FAME,Short_Saturated ,0.91183286,0.873486635,1.217058915,1.081661398,1.370653248,1.179787137,0.99044285,1.005384959,0.498662388,0,1.233976616,0.973269011,0.567096293,0.813397192,0.79136905,0.578573944
18.08,n-C24 FAME,Long_Saturated ,7.177232648,7.08614023,11.09367573,11.69391948,16.49605679,10.17095732,8.850576502,8.316711819,4.185075142,2.595842672,9.844478443,6.788946692,4.868250498,7.103006441,7.542047671,5.395086845
18.75,n-C25 FAME,Long_Saturated ,2.171896634,1.22454293,1.735089319,1.443792899,1.484886724,1.299897681,1.454186648,1.432818332,0.587051323,0.748818366,1.222976153,1.091368171,0.792757213,0.794966144,0.885208957,0.723999422
18.86,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.09,2-methoxy-C23 FAME,Dimethoxy ,0,0,0,0,2.285210962,1.152278092,0,0,0,0,0,0,0,0,0,0
19.46,n-C26 FAME,Long_Saturated ,4.906877299,4.708252965,7.088699402,6.277235344,8.549632775,6.059947708,6.759092843,6.429770117,3.286143299,2.058305256,7.461798104,5.906624648,3.835153515,5.601055656,6.069775167,4.75008752
20.25,n-C27 FAME ,Long_Saturated ,0.620622827,0.50453421,0.912763753,0.666539892,0.774946137,0,0.680991047,0.62966047,0,0,0.617905484,0.499149338,0.34645224,0.456359372,0,0
20.39,"3-Hydroxy-4,4,6a,8a,11,11,14b-heptamethyl-1,3,4,4a,5,6,6a,7,8,8a,9,10,11,12,12a,14,14a,14b-octadecahydro-2H-picen-13-one",PAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.8,"Acetic acid, 7-isopropyl-3a,3b,9b-trimethyl-2-phenyl-3a,3b,4,5,5a,7,8,9,9a,9b,10,11-dodecahydro-6-oxa-cyclopenta[a]phenanthren-3-yl ester",PAH,1.28238732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.856220077
20.94,"Acetic acid, 7-isopropyl-3a,3b,9b-trimethyl-2-phenyl-3a,3b,4,5,5a,7,8,9,9a,9b,10,11-dodecahydro-6-oxa-cyclopenta[a]phenanthren-3-yl ester",PAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847885278
21.13,n-C28 FAME ,Long_Saturated ,2.388531322,2.520453298,3.451086092,2.863549339,3.968007867,3.304930519,3.517742718,3.153965022,1.572763065,1.069770334,3.936069647,3.143594969,2.210039077,3.002409909,3.186327951,2.932393942
21.5,Stigmasterol,PAH,0,0.406725255,0.505442591,0,0.468698711,0.361499606,0,0,0,0,0,0,0,0,0,0
22.14,n-C29 FAME,Long_Saturated ,0,0.647711298,1.306503838,0.847822268,1.288744976,0.970268192,0,0,0,0,0,0,0,0,0,0
22.32,n-C29 FAME,Long_Saturated ,1.88863456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.34,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22.51,Unknown,Unknown,0,0,0,0,0,0.696388978,0,0,0,0,0,0,0,0,0,0
23.3,n-C30 FAME,Saturated ,0,1.590363699,2.469580707,2.057000044,3.214836013,1.781291541,2.106767988,2.090274595,1.013250875,0.639302033,1.939392375,1.594796111,1.25454344,1.409150784,1.558640839,1.500674707
24.65,n-C31 FAME,Saturated ,0,0,0.4908806,0.603665265,1.000991136,0.468893827,0,0,0,0,0,0,0,0,0,0
25.02,Unknown,Unknown,0,0,0.747885456,0.579151045,0.77112836,0.870485822,0,0,0,0,0,0,0,0,0,0
26.26,n-C32 FAME,Long_Saturated ,0.737840428,0.690103219,0.948198402,0.666716456,1.329794447,0,0,0,0,0,0,0,0,0,0,0
